record_id,dataset,data_seed,model_seed,weak_auc_gap,weak_only_learnable,outcome_suppression,causal_certificate,both_first_hit_tau,weak_only_first_hit_tau,first_drift_crossing_tau,first_response_crossing_tau,drift_sign_change_count,response_sign_change_count,positive_drift_area,negative_drift_area,both_cue_free_accuracy,both_aligned_accuracy,both_conflicted_accuracy,weak_only_cue_free_accuracy,weak_only_aligned_accuracy,weak_only_conflicted_accuracy,wall_time_seconds,process_peak_rss_bytes
sr-mnist-d4102-m5103,mnist,4102,5103,9.3311170348897628e-05,false,false,false,,,0.61620507729072627,1.2075570268452904,2,2,0.00040115093949046271,0.00015599442200530615,0.66015625,0.99609375,0.01953125,0.63671875,0.54296875,0.66015625,51.251229459012393,732168192
sr-mnist-d4102-m5104,mnist,4102,5104,0.0020555411203531547,false,false,false,,,,,1,0,0.00051903277448898824,0.00058327569381388575,0.5546875,1,0.23046875,0.53125,0.5,0.546875,48.87861408398021,732168192
sr-mnist-d4102-m5105,mnist,4102,5105,-0.0079202089415048235,false,false,false,,,,,0,0,0.0049248637893469999,0,0.66015625,1,0.05859375,0.5,0.5078125,0.49609375,43.225493959005689,732168192
sr-mnist-d4102-m5106,mnist,4102,5106,-0.0011023001861758528,false,false,false,,,,,0,0,0.0007127967634005469,0,0.60546875,1,0,0.60546875,0.44140625,0.6875,42.337060624995502,732168192
sr-mnist-d4102-m5107,mnist,4102,5107,-0.001881911987948115,false,false,false,,,,,0,0,0.0015602265921188521,0,0.51171875,0.99609375,0.01953125,0.47265625,0.828125,0.16796875,42.275292165984865,732168192
sr-mnist-d4102-m5108,mnist,4102,5108,0.0012830310050048865,false,false,false,,,,,1,0,0.00020997057770026533,0.00036448039097402744,0.5390625,1,0,0.5,0.5,0.5,42.278941875003511,732168192
sr-mnist-d4103-m5101,mnist,4103,5101,-0.0026610977038217243,false,false,false,,,,,0,0,0.0016916106855205722,0,0.61328125,0.9921875,0.0390625,0.58203125,0.66796875,0.4609375,42.51013095799135,732168192
sr-mnist-d4103-m5102,mnist,4103,5102,-0.002527776069473475,false,false,false,,,,,1,1,0.0025029789450481598,8.1461577573424863e-05,0.62890625,1,0.02734375,0.56640625,0.61328125,0.515625,52.045033667003736,732168192
sr-mnist-d4103-m5103,mnist,4103,5103,0.0010282778355758639,false,false,false,,,,,1,0,0.00026183995366028267,0.00032546674052883644,0.71875,0.99609375,0.03125,0.5546875,0.5078125,0.5859375,49.561116791999666,732168192
sr-mnist-d4103-m5104,mnist,4103,5104,0.001934281928697601,false,false,false,,,,,1,0,0.00056149501833614235,0.00056041732823258544,0.796875,1,0.05078125,0.50390625,0.5,0.50390625,43.425898374989629,732168192
sr-mnist-d4103-m5105,mnist,4103,5105,-0.0067858965339837596,false,false,false,,,,,0,0,0.0042982750921510158,0,0.65234375,1,0.03515625,0.5,0.50390625,0.5,42.396292874997016,732168192
sr-mnist-d4103-m5106,mnist,4103,5106,-0.0013747099888860247,false,false,false,,,,,0,0,0.00081042123201768856,0,0.59375,1,0,0.58203125,0.45703125,0.63671875,42.814145125012146,732168192
sr-mnist-d4103-m5107,mnist,4103,5107,-0.0033242551733565049,false,false,false,,,,,0,0,0.0023794591063051478,0,0.5078125,0.99609375,0.0078125,0.52734375,0.81640625,0.2578125,42.575617082999088,732168192
sr-mnist-d4103-m5108,mnist,4103,5108,0.0014005849196109922,false,false,false,,,,,1,0,0.00012141273349683725,0.00038997760133483209,0.61328125,1,0,0.5,0.5,0.5,42.800932124984683,732168192
sr-mnist-d4104-m5101,mnist,4104,5101,-0.00434868316806387,false,false,false,,,,,0,0,0.0027367142654838965,0,0.609375,0.9765625,0.03125,0.6171875,0.7109375,0.47265625,42.647723000001861,732168192
sr-mnist-d4104-m5102,mnist,4104,5102,0.00086630063015036317,false,false,false,,,,,1,1,0.0020887369838998846,0.00065953114787016174,0.6171875,0.98046875,0.0390625,0.59375,0.62890625,0.5625,43.650425500003621,732168192
sr-mnist-d4104-m5103,mnist,4104,5103,0.003003257926320657,false,false,false,,,3.7593116342679722,,5,0,0.00015596521451869465,0.00087287092655231706,0.65234375,0.97265625,0.0625,0.5859375,0.53515625,0.6484375,42.732057707995409,732168192
sr-mnist-d4104-m5104,mnist,4104,5104,0.0027778073155786849,false,false,false,,,,,1,0,0.00065829886873893461,0.00078996879595274116,0.6875,0.98828125,0.171875,0.51953125,0.5,0.5390625,42.406729082984384,732168192
sr-mnist-d4104-m5105,mnist,4104,5105,-0.0052280571311712262,false,false,false,,,,,0,0,0.0033503502927487716,0,0.6484375,1,0.01953125,0.5,0.50390625,0.5,42.058599458017852,732168192
sr-mnist-d4104-m5106,mnist,4104,5106,-0.00061625743401236819,false,false,false,,,,,1,1,0.00043954823656872457,2.2145515936925746e-05,0.59375,1,0,0.62109375,0.44140625,0.70703125,41.981490083999233,732168192
sr-mnist-d4104-m5107,mnist,4104,5107,-0.0067840007413906269,false,false,false,,,,,0,0,0.0041575829556677489,0,0.5,0.9765625,0.0390625,0.578125,0.7734375,0.28515625,42.244160625006771,732168192
sr-mnist-d4104-m5108,mnist,4104,5108,0.0031633124737709298,false,false,false,,,,,1,0,3.8611184689336029e-06,0.00097681972333958839,0.65625,1,0,0.5,0.5,0.5,42.087338707991876,732168192
sr-fashion_mnist-d4101-m5101,fashion_mnist,4101,5101,0.0015967340543284081,false,false,false,,,,,0,0,0,0.00054495088243129415,0.56640625,1,0,0.5,0.5,0.5,42.250659541983623,732168192
sr-fashion_mnist-d4101-m5102,fashion_mnist,4101,5102,0.00045561080332845449,false,false,false,,,,,1,1,0.0010923086404146854,0.00033979617588205681,0.5390625,0.921875,0.171875,0.59375,0.59765625,0.53125,42.121092790999683,732168192
sr-fashion_mnist-d4101-m5103,fashion_mnist,4101,5103,0.00033497942495159806,false,false,false,,,,,1,1,0.00041384081568378225,0.00016963209354127983,0.625,0.9921875,0.1328125,0.5859375,0.58984375,0.6640625,42.850258542021038,732168192
sr-fashion_mnist-d4101-m5104,fashion_mnist,4101,5104,0.0047246385132893916,false,false,false,,,,,0,0,0,0.0015508713098824956,0.5,0.55859375,0.46875,0.69140625,0.5234375,0.7421875,42.393468415975804,732168192
sr-fashion_mnist-d4101-m5105,fashion_mnist,4101,5105,-0.0015932606169371864,false,false,false,,,0.20043442994817087,0.41449539094895738,2,2,0.0016724583639875414,3.7641995527818081e-05,0.515625,0.9296875,0.06640625,0.53515625,0.640625,0.43359375,42.246599916979903,732168192
