record_id,model_kind,cell_id,data_seed,model_seed,beta,both_hitting_time,both_hitting_time_status,causal_starvation_certified,gated_delta_tw,gated_delta_tw_status,regime,right_censored,target_met_at_initialization,weak_auc_gap,weak_hitting_time,weak_hitting_time_status,weak_only_learnable,outcome_suppression,all_beta_robust_causal_certificate
esa-tanh-rho3_lag1-d302-m3015,tanh,rho3_lag1,302,3015,2,,right_censored,false,,right_censored,starvation,true,false,21.452243402041496,3.5297197240582223,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,0.25,1.6212401326608925,finite,true,0.59331432643785842,finite,starvation,false,false,20.293437444232403,1.0279258062230341,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,0.5,8.0591050105361752,finite,true,6.3963009498296088,finite,starvation,false,false,20.293437444232403,1.6628040607065668,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,1,,right_censored,true,,right_censored,starvation,true,false,20.293437444232403,2.4483133627825548,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,2,,right_censored,true,,right_censored,starvation,true,false,20.293437444232403,3.7262605646139559,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3017,tanh,rho3_lag1,302,3017,0.25,2.4937532277736878,finite,false,1.3755615096077962,finite,starvation,false,false,20.855000908859072,1.1181917181658916,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3017,tanh,rho3_lag1,302,3017,0.5,,right_censored,false,,right_censored,starvation,true,false,20.855000908859072,1.7443005656336203,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3017,tanh,rho3_lag1,302,3017,1,,right_censored,false,,right_censored,starvation,true,false,20.855000908859072,2.5131530419843164,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3017,tanh,rho3_lag1,302,3017,2,,right_censored,false,,right_censored,starvation,true,false,20.855000908859072,3.7636817148424813,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3010,tanh,rho3_lag1,303,3010,0.25,5.8515593675102879,finite,false,4.08253426258959,finite,starvation,false,false,17.820660616457459,1.7690251049206975,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3010,tanh,rho3_lag1,303,3010,0.5,,right_censored,false,,right_censored,starvation,true,false,17.820660616457459,2.4954280059903016,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3010,tanh,rho3_lag1,303,3010,1,,right_censored,false,,right_censored,starvation,true,false,17.820660616457459,3.3361237963868171,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3010,tanh,rho3_lag1,303,3010,2,,right_censored,false,,right_censored,starvation,true,false,17.820660616457459,4.6983906748588202,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3011,tanh,rho3_lag1,303,3011,0.25,1.7402028954500071,finite,false,0.76019358471022991,finite,starvation,false,false,21.17523448932916,0.98000931073977715,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3011,tanh,rho3_lag1,303,3011,0.5,8.915581284802391,finite,false,7.3279199864706319,finite,starvation,false,false,21.17523448932916,1.5876612983317591,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3011,tanh,rho3_lag1,303,3011,1,,right_censored,false,,right_censored,starvation,true,false,21.17523448932916,2.3386434352075463,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3011,tanh,rho3_lag1,303,3011,2,,right_censored,false,,right_censored,starvation,true,false,21.17523448932916,3.5626106448285086,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3012,tanh,rho3_lag1,303,3012,0.25,1.4429138960709098,finite,false,0.64599772453586723,finite,starvation,false,false,21.192798041179778,0.79691617153504257,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3012,tanh,rho3_lag1,303,3012,0.5,7.5537732694236981,finite,false,6.1455131192391494,finite,starvation,false,false,21.192798041179778,1.4082601501845489,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3012,tanh,rho3_lag1,303,3012,1,,right_censored,false,,right_censored,starvation,true,false,21.192798041179778,2.1687153508374206,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3012,tanh,rho3_lag1,303,3012,2,,right_censored,false,,right_censored,starvation,true,false,21.192798041179778,3.4357951928207133,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3013,tanh,rho3_lag1,303,3013,0.25,1.9581499094601009,finite,true,0.92420330889967683,finite,starvation,false,false,20.624660671316089,1.0339466005604241,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3013,tanh,rho3_lag1,303,3013,0.5,,right_censored,true,,right_censored,starvation,true,false,20.624660671316089,1.6568344604104004,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3013,tanh,rho3_lag1,303,3013,1,,right_censored,true,,right_censored,starvation,true,false,20.624660671316089,2.432143610562882,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3013,tanh,rho3_lag1,303,3013,2,,right_censored,true,,right_censored,starvation,true,false,20.624660671316089,3.7036815068493154,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3014,tanh,rho3_lag1,303,3014,0.25,2.3084118257261412,finite,false,1.2417595358300637,finite,starvation,false,false,20.515353851206601,1.0666522898960775,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3014,tanh,rho3_lag1,303,3014,0.5,,right_censored,false,,right_censored,starvation,true,false,20.515353851206601,1.7398373432270735,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3014,tanh,rho3_lag1,303,3014,1,,right_censored,false,,right_censored,starvation,true,false,20.515353851206601,2.5329212433990955,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3014,tanh,rho3_lag1,303,3014,2,,right_censored,false,,right_censored,starvation,true,false,20.515353851206601,3.8041994211805537,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3015,tanh,rho3_lag1,303,3015,0.25,2.0505011440910113,finite,false,1.1772959679674471,finite,starvation,false,false,21.382995950244364,0.8732051761235643,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3015,tanh,rho3_lag1,303,3015,0.5,,right_censored,false,,right_censored,starvation,true,false,21.382995950244364,1.4775683699276443,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3015,tanh,rho3_lag1,303,3015,1,,right_censored,false,,right_censored,starvation,true,false,21.382995950244364,2.2433769120187148,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3015,tanh,rho3_lag1,303,3015,2,,right_censored,false,,right_censored,starvation,true,false,21.382995950244364,3.5132552856252977,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3016,tanh,rho3_lag1,303,3016,0.25,1.6049747509212502,finite,true,0.5897102368065712,finite,starvation,false,false,20.244000194128599,1.015264514114679,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3016,tanh,rho3_lag1,303,3016,0.5,7.9341939726654092,finite,true,6.2903066912539298,finite,starvation,false,false,20.244000194128599,1.6438872814114789,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3016,tanh,rho3_lag1,303,3016,1,,right_censored,true,,right_censored,starvation,true,false,20.244000194128599,2.4246878345472012,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3016,tanh,rho3_lag1,303,3016,2,,right_censored,true,,right_censored,starvation,true,false,20.244000194128599,3.7074307237199569,finite,true,true,true
esa-tanh-rho3_lag1-d303-m3017,tanh,rho3_lag1,303,3017,0.25,2.4555869671996944,finite,false,1.3511486327064843,finite,starvation,false,false,20.803813712950795,1.10443833449321,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3017,tanh,rho3_lag1,303,3017,0.5,,right_censored,false,,right_censored,starvation,true,false,20.803813712950795,1.7239931781878719,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3017,tanh,rho3_lag1,303,3017,1,,right_censored,false,,right_censored,starvation,true,false,20.803813712950795,2.4884808160290541,finite,true,false,false
esa-tanh-rho3_lag1-d303-m3017,tanh,rho3_lag1,303,3017,2,,right_censored,false,,right_censored,starvation,true,false,20.803813712950795,3.7437417796356343,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3010,tanh,rho3_lag1,304,3010,0.25,5.9341847403043397,finite,false,4.1480165194141163,finite,starvation,false,false,17.803202371392402,1.7861682208902236,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3010,tanh,rho3_lag1,304,3010,0.5,,right_censored,false,,right_censored,starvation,true,false,17.803202371392402,2.5178918570209152,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3010,tanh,rho3_lag1,304,3010,1,,right_censored,false,,right_censored,starvation,true,false,17.803202371392402,3.3623539131941205,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3010,tanh,rho3_lag1,304,3010,2,,right_censored,false,,right_censored,starvation,true,false,17.803202371392402,4.7206166113333898,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3011,tanh,rho3_lag1,304,3011,0.25,1.7575255887614747,finite,false,0.76811435353408042,finite,starvation,false,false,21.227688115276397,0.98941123522739427,finite,true,false,false
