record_id,model_kind,cell_id,method_id,publication_label,data_seed,model_seed,weak_auc_gap,weak_rescue_score,beta_first_hit_delay,beta_first_hit_delay_status,final_both_weak_response,strong_response_auc,final_strong_response,absolute_strong_response_auc_difference_from_erm,absolute_final_strong_response_difference_from_erm,diagnostic_status,target_attainment_fraction,feasibility_fraction,cap_binding_fraction,max_absolute_strong_drift_change,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-counterfactual_drift-rho4_lag2-d302-m3017,tanh,rho4_lag2,counterfactual_drift,CDC,302,3017,-0.0085436415858566768,-0.0085436415858566768,-0.0015019717350885919,finite,4.8406481742858887,10.359484495152721,1.2025165557861328,1.7175675559788921,0.4073411226272583,available,1,1,0,1.1920928955078125e-07,1.4049383115397676,399556608,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3010,tanh,rho4_lag2,counterfactual_drift,CDC,303,3010,0.0014872916042804715,-0.0014872916042804715,-4.939695088301832e-05,finite,4.8300328254699707,10.491227794229053,1.2128465175628662,1.700038741715252,0.40253710746765137,available,1,1,0,1.1920928955078125e-07,1.4230192912794555,387956736,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3011,tanh,rho4_lag2,counterfactual_drift,CDC,303,3011,-0.00020154328085482124,-0.00020154328085482124,-0.00011067216831506244,finite,4.8332300186157227,9.9438844304066158,1.1487362384796143,1.9711893543601029,0.44027376174926758,available,1,1,0,1.1920928955078125e-07,1.486709672145949,398409728,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3012,tanh,rho4_lag2,counterfactual_drift,CDC,303,3012,0.0008323866408318281,-0.0008323866408318281,-7.0080726673804605e-05,finite,4.8597288131713867,10.349101584590972,1.1877498626708984,1.8334417246282086,0.4192500114440918,available,1,1,0,1.1920928955078125e-07,1.9553187268682573,389873664,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3013,tanh,rho4_lag2,counterfactual_drift,CDC,303,3013,0.0013583914376795289,-0.0013583914376795289,-1.6544320362577025e-06,finite,4.947321891784668,10.189989097323268,1.1708436012268066,1.850818919017911,0.4237062931060791,available,1,1,0,1.1920928955078125e-07,2.0348343615536257,390692864,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3014,tanh,rho4_lag2,counterfactual_drift,CDC,303,3014,-0.0034086905769072475,-0.0034086905769072475,-0.0007093517611296285,finite,4.9009809494018555,10.17649075705558,1.169262170791626,1.8461605276912447,0.42385637760162354,available,1,1,0,1.1920928955078125e-07,1.8658580776894633,368590848,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3015,tanh,rho4_lag2,counterfactual_drift,CDC,303,3015,0.0020010283915325999,-0.0020010283915325999,-2.587890506777768e-06,finite,5.0068149566650391,10.273346336930992,1.1734123229980469,1.9593326311558457,0.43960380554199219,available,1,1,0,1.1920928955078125e-07,1.64858410354833,391233536,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3016,tanh,rho4_lag2,counterfactual_drift,CDC,303,3016,-0.00043901070021092894,-0.00043901070021092894,-3.7804343319347566e-05,finite,4.6781787872314453,10.615024448325858,1.2337560653686523,1.5155591517686844,0.37519645690917969,available,1,1,0,1.1920928955078125e-07,1.6355059659436446,391380992,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3017,tanh,rho4_lag2,counterfactual_drift,CDC,303,3017,-0.0083943172823637731,-0.0083943172823637731,-0.0014998855685113277,finite,4.8109097480773926,10.306550262775271,1.1950795650482178,1.7435597155243165,0.41058611869812012,available,1,1,0,1.1920928955078125e-07,1.5629128010394013,388235264,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3010,tanh,rho4_lag2,counterfactual_drift,CDC,304,3010,0.001486177183687687,-0.001486177183687687,-4.9668521200807447e-05,finite,4.8540792465209961,10.530485914251766,1.2183742523193359,1.6806971825659272,0.4001011848449707,available,1,1,0,1.1920928955078125e-07,1.5969305832631311,405258240,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3011,tanh,rho4_lag2,counterfactual_drift,CDC,304,3011,-0.00020833243615925309,-0.00020833243615925309,-0.00011301765198190594,finite,4.8570737838745117,9.9843490689527243,1.1543030738830566,1.9514166843146086,0.4379352331161499,available,1,1,0,5.9604644775390625e-08,1.6076756988728893,388612096,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3012,tanh,rho4_lag2,counterfactual_drift,CDC,304,3012,0.00082577473949640989,-0.00082577473949640989,-6.8796776089286027e-05,finite,4.8841986656188965,10.388653762824832,1.1931800842285156,1.8143879659473914,0.41696417331695557,available,1,1,0,1.1920928955078125e-07,1.6186194480040941,405438464,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3013,tanh,rho4_lag2,counterfactual_drift,CDC,304,3013,0.0013622677884995939,-0.0013622677884995939,-4.15414176835327e-07,finite,4.9725255966186523,10.229662963468581,1.1762824058532715,1.8315971702337279,0.42142248153686523,available,1,1,0,1.1920928955078125e-07,1.7520062721198948,387678208,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3014,tanh,rho4_lag2,counterfactual_drift,CDC,304,3014,-0.0034489966579712931,-0.0034489966579712931,-0.00074043589930417042,finite,4.9259147644042969,10.216786122974009,1.1748576164245605,1.8264639791101214,0.42147493362426758,available,1,1,0,5.9604644775390625e-08,1.8048378901078339,394051584,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3015,tanh,rho4_lag2,counterfactual_drift,CDC,304,3015,0.0020054772961884734,-0.0020054772961884734,-1.88155088354236e-06,finite,5.0327968597412109,10.313059172220528,1.1787921190261841,1.9399039724841725,0.43735194206237793,available,1,1,0,1.1920928955078125e-07,1.9447830281281573,397443072,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3016,tanh,rho4_lag2,counterfactual_drift,CDC,304,3016,-0.00045283010695129633,-0.00045283010695129633,-3.6567915113305816e-05,finite,4.6982498168945312,10.654211783548817,1.2394813299179077,1.4960807118564858,0.37255847454071045,available,1,1,0,1.1920928955078125e-07,1.8908813659599779,398819328,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3017,tanh,rho4_lag2,counterfactual_drift,CDC,304,3017,-0.0085182814626023166,-0.0085182814626023166,-0.0014810034380898784,finite,4.8337669372558594,10.345951949362643,1.2006270885467529,1.7240997385233641,0.40816879272460938,available,1,1,0,1.1920928955078125e-07,1.8746965470750749,385024000,17152,N/A
esb-bloop-rho4_lag2-d301-m3010,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3010,0.0042877354659140113,-0.0042877354659140113,3.4998479915504532e-05,finite,4.8540916442871094,6.7283350698417053,0.52982568740844727,5.3762965552508817,1.0713683366775513,available,1,1,0,0.2559545636177063,1.7607141597765039,397639680,17152,N/A
esb-bloop-rho4_lag2-d301-m3011,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3011,0.0023243092466145752,-0.0023243092466145752,-2.587710713441993e-05,finite,4.8571100234985352,6.0932412314694373,0.49228328466415405,5.7398304102942346,1.0830418467521667,available,1,1,0,0.25691923499107361,1.479768809195237,397606912,17152,N/A
esb-bloop-rho4_lag2-d301-m3012,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3012,0.0036417303141206502,-0.0036417303141206502,7.6685045824476106e-06,finite,4.8842010498046875,6.5048624144867055,0.51800054311752319,5.5916232131421566,1.075022280216217,available,1,1,0,0.25563150644302368,1.7167776429399386,394428416,17152,N/A
esb-bloop-rho4_lag2-d301-m3013,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3013,0.0041744391899555923,-0.0041744391899555923,7.367369367550225e-05,finite,4.9725503921508789,6.1843497059307992,0.47385305166244507,5.7713216260075573,1.1067201495170593,available,1,1,0,0.2726573646068573,1.868485153877891,399130624,17152,N/A
esb-bloop-rho4_lag2-d301-m3014,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3014,-0.00077411304810084416,-0.00077411304810084416,-0.00065585316817173833,finite,4.92596435546875,6.2033745185472071,0.47106349468231201,5.7341119728982441,1.1080377101898193,available,1,1,0,0.26918601989746094,1.5673547943184334,383254528,17152,N/A
